code,m_number,opendate,o_code,o_codename,d_o_code,d_o_codename,closedate,op_days,area,address,r_address,address_gu,name,type,t_area,status
3240000,3240000-104-2023-00028,2023-02-16,1,영업/정상,1,영업,2023-12-07,291,3.3,서울특별시 강동구 천호동 335-8,"서울특별시 강동구 올림픽로79길 23, 1층 (천호동)",강동구,세븐일레븐,편의점,,0
3050000,3050000-104-2023-00039,2023-03-24,1,영업/정상,1,영업,2023-12-07,255,3.3,서울특별시 동대문구 전농동 128-101,"서울특별시 동대문구 전농로37길 78, 1층 (전농동)",동대문구,GS25,편의점,,0
3240000,3240000-104-2023-00052,2023-03-24,1,영업/정상,1,영업,2023-12-07,255,3.3,서울특별시 강동구 암사동 452 진주빌딩,"서울특별시 강동구 고덕로 96, 진주빌딩 1층 103,104호 (암사동)",강동구,CU,편의점,,0
3210000,3210000-104-2023-00076,2023-03-24,1,영업/정상,1,영업,2023-12-07,255,3.3,서울특별시 서초구 반포동 612-55,"서울특별시 서초구 서래로5길 96, 1층 (반포동)",서초구,세븐일레븐,편의점,,0
3210000,3210000-104-2023-00075,2023-03-24,1,영업/정상,1,영업,2023-12-07,255,3.3,서울특별시 서초구 방배동 897-1 1층,"서울특별시 서초구 서초대로26길 3, 1층 (방배동)",서초구,CU,편의점,,0
3080000,3080000-104-2023-00021,2023-03-24,1,영업/정상,1,영업,2023-12-07,255,3.3,서울특별시 강북구 미아동 62-27 행복빌딩,"서울특별시 강북구 도봉로 63, 행복빌딩 1층 좌측호 (미아동)",강북구,GS25,편의점,,0
3200000,3200000-104-2023-00051,2023-03-24,1,영업/정상,1,영업,2023-12-07,255,3.3,서울특별시 관악구 봉천동 100-324,"서울특별시 관악구 행운6길 2, 1층 101호 (봉천동)",관악구,세븐일레븐,편의점,,0
3180000,3180000-104-2023-00069,2023-03-24,3,폐업,2,폐업,2023-05-25,62,6,서울특별시 영등포구 당산동3가 6-3,"서울특별시 영등포구 양산로 141, 101동 101호 (당산동3가)",영등포구,CU,편의점,,1
3050000,3050000-104-2021-00060,2021-05-20,1,영업/정상,1,영업,2023-12-07,928,3.3,서울특별시 동대문구 신설동 104-30,"서울특별시 동대문구 천호대로2길 23-17, 1층 (신설동)",동대문구,CU,편의점,,0
3240000,3240000-104-2018-00036,2018-02-21,1,영업/정상,1,영업,2023-12-07,2112,3.3,서울특별시 강동구 고덕동 688번지 래미안힐스테이트고덕 ,"서울특별시 강동구 아리수로50길 50, 1층 (고덕동, 래미안힐스테이트고덕)",강동구,CU,편의점,3.3,0
3220000,3220000-104-2009-00226,2009-08-14,1,영업/정상,1,영업,2023-12-07,5225,3,서울특별시 강남구 신사동 655-15 지상1층,"서울특별시 강남구 선릉로153길 18 (신사동,지상1층)",강남구,세븐일레븐,편의점,,0
3070000,3070000-104-2023-00204,2023-10-30,1,영업/정상,1,영업,2023-12-07,35,9.9,서울특별시 성북구 종암동 80-3 삼성 래미안아파트 상가동,"서울특별시 성북구 종암로27길 37, 상가동 1층 107호 (종암동, 삼성 래미안아파트)",성북구,GS25,편의점,,0
3240000,3240000-104-2023-00037,2023-02-28,1,영업/정상,1,영업,2023-12-07,279,2,서울특별시 강동구 천호동 483-8,"서울특별시 강동구 한강남자전거길 3646, 1층 (천호동)",강동구,세븐일레븐,편의점,,0
3230000,3230000-104-2023-00054,2023-02-28,1,영업/정상,1,영업,2023-12-07,279,57.71,서울특별시 송파구 삼전동 125-9,"서울특별시 송파구 백제고분로31길 26, 1층 (삼전동)",송파구,세븐일레븐,편의점,,0
3120000,3120000-104-2023-00038,2023-02-28,1,영업/정상,1,영업,2023-12-07,279,3.3,서울특별시 서대문구 홍은동 427-3 동욱빌딩,"서울특별시 서대문구 연희로 276, 동욱빌딩 1층 (홍은동)",서대문구,이마트24,편의점,,0
3190000,3190000-104-2021-00104,2021-08-23,3,폐업,2,폐업,2023-02-28,554,3.3,서울특별시 동작구 사당동 268-4,"서울특별시 동작구 사당로16가길 34, 1층 (사당동)",동작구,CU,편의점,,1
3180000,3180000-104-2020-00311,2020-12-28,1,영업/정상,1,영업,2023-12-07,1071,6.6,서울특별시 영등포구 양평동6가 100 동양아파트,"서울특별시 영등포구 양평로30가길 19, 동양아파트 204동 107,108호 (양평동6가)",영등포구,GS25,편의점,,0
3180000,3180000-104-2020-00045,2020-02-12,1,영업/정상,1,영업,2023-12-07,1391,3.3,서울특별시 영등포구 영등포동2가 139,"서울특별시 영등포구 버드나루로 5, 리미티오148 1층 103호, 104호 (영등포동2가)",영등포구,GS25,편의점,,0
3140000,3140000-104-2019-00243,2019-11-22,3,폐업,2,폐업,2023-02-28,1194,13.2,서울특별시 양천구 신월동 19-14 상록빌딩 1층,"서울특별시 양천구 화곡로13길 33, 상록빌딩 1층 (신월동)",양천구,GS25,편의점,,1
3040000,3040000-104-2019-00104,2019-05-09,1,영업/정상,1,영업,2023-12-07,1670,6.6,서울특별시 광진구 구의동 222-1,"서울특별시 광진구 구의로 39, 1층 (구의동)",광진구,세븐일레븐,편의점,,0
3050000,3050000-104-2018-00049,2018-03-28,3,폐업,2,폐업,2023-02-28,1798,6,서울특별시 동대문구 답십리동 1008 청계와이즈노벨리아아파트,"서울특별시 동대문구 서울시립대로 19, 1층 (답십리동, 청계와이즈노벨리아아파트)",동대문구,CU,편의점,,1
3110000,3110000-104-2016-00193,2016-10-25,3,폐업,2,폐업,2023-02-28,2317,3.3,서울특별시 은평구 역촌동 85-41 지하2층 2001호,"서울특별시 은평구 증산로 지하 477 (역촌동, 지하2층 2001호)",은평구,GS25,편의점,,1
3050000,3050000-104-2023-00020,2023-02-16,1,영업/정상,1,영업,2023-12-07,291,3.3,서울특별시 동대문구 휘경동 380,"서울특별시 동대문구 망우로 46, 402동 1층 1213호~1215호 (휘경동)",동대문구,GS25,편의점,,0
3130000,3130000-104-2014-00174,2014-07-24,1,영업/정상,1,영업,2023-12-07,3420,7,서울특별시 마포구 도화동 565 서울대학교총동창회장학빌딩 1층일부,"서울특별시 마포구 새창로 7 (도화동, 서울대학교총동창회장학빌딩 1층일부)",마포구,세븐일레븐,편의점,,0
3050000,3050000-104-2023-00021,2023-02-16,1,영업/정상,1,영업,2023-12-07,291,27.5,서울특별시 동대문구 장안동 403-1,"서울특별시 동대문구 천호대로77길 84, 1층 (장안동)",동대문구,세븐일레븐,편의점,,0
3210000,3210000-104-2023-00115,2023-04-25,1,영업/정상,1,영업,2023-12-07,223,3.3,"서울특별시 서초구 내곡동 384 서초포레스타2단지 상가동 1층 105, 106호","서울특별시 서초구 헌릉로8길 45, 상가동 1층 105, 106호 (내곡동, 서초포레스타2단지)",서초구,GS25,편의점,,0
3240000,3240000-104-2018-00192,2018-10-02,1,영업/정상,1,영업,2023-12-07,1889,3.3,서울특별시 강동구 천호동 442-34번지 대동피렌체리버 ,"서울특별시 강동구 올림픽로 667, 대동피렌체리버 1층 (천호동)",강동구,세븐일레븐,편의점,3.3,0
3070000,3070000-104-2023-00103,2023-05-30,1,영업/정상,1,영업,2023-12-07,188,3.3,서울특별시 성북구 동소문동6가 117-2 보미리즌빌,"서울특별시 성북구 동소문로 89, 보미리즌빌 1층 102호 (동소문동6가)",성북구,CU,편의점,,0
3070000,3070000-104-2023-00071,2023-04-25,1,영업/정상,1,영업,2023-12-07,223,3.3,서울특별시 성북구 안암동1가 198 1층,"서울특별시 성북구 고려대로7다길 39-12, 1층 (안암동1가)",성북구,GS25,편의점,,0
3070000,3070000-104-2023-00072,2023-04-25,1,영업/정상,1,영업,2023-12-07,223,3.3,서울특별시 성북구 하월곡동 90-700 베로니스,"서울특별시 성북구 화랑로1길 7, 104호 (하월곡동, 베로니스)",성북구,세븐일레븐,편의점,,0
3120000,3120000-104-2023-00080,2023-04-25,1,영업/정상,1,영업,2023-12-07,223,3.3,서울특별시 서대문구 연희동 136-7 아농스오피스텔 1층 102호,"서울특별시 서대문구 연희로 102, 1층 102호 (연희동, 아농스오피스텔)",서대문구,CU,편의점,,0
3210000,3210000-104-2023-00114,2023-04-25,1,영업/정상,1,영업,2023-12-07,223,3.3,서울특별시 서초구 방배동 795-1 삼호회관,"서울특별시 서초구 방배로37길 11, 1층 (방배동)",서초구,세븐일레븐,편의점,,0
3130000,3130000-104-2023-00135,2023-04-25,1,영업/정상,1,영업,2023-12-07,223,50.52,서울특별시 마포구 연남동 565-1 청한빌,"서울특별시 마포구 연남로3길 61, 청한빌 1층 (연남동)",마포구,GS25,편의점,,0
3090000,3090000-104-2023-00044,2023-05-30,1,영업/정상,1,영업,2023-12-07,188,3.3,서울특별시 도봉구 쌍문동 26-62,"서울특별시 도봉구 도봉로139길 94, 1층 (쌍문동)",도봉구,세븐일레븐,편의점,,0
3020000,3020000-104-2023-00053,2023-03-27,1,영업/정상,1,영업,2023-12-07,252,3.3,서울특별시 용산구 이태원동 368-4,"서울특별시 용산구 녹사평대로40나길 53, 1층 101호 (이태원동)",용산구,CU,편의점,,0
3230000,3230000-104-2023-00041,2023-02-16,1,영업/정상,1,영업,2023-12-07,291,3.3,서울특별시 송파구 가락동 95-1 가락금호아파트,"서울특별시 송파구 송파대로32길 15, 상가동 102호 (가락동, 가락금호아파트)",송파구,GS25,편의점,,0
3040000,3040000-104-2023-00048,2023-03-27,1,영업/정상,1,영업,2023-12-07,252,6,서울특별시 광진구 광장동 457-1 광희현대타워 101호,"서울특별시 광진구 아차산로70길 26, 1층 101호 (광장동, 광희현대타워)",광진구,CU,편의점,,0
3040000,3040000-104-2023-00049,2023-03-27,1,영업/정상,1,영업,2023-12-07,252,6.6,서울특별시 광진구 구의동 599-8 아원빌딩,"서울특별시 광진구 구의강변로 22, 아원빌딩 1층 (구의동)",광진구,GS25,편의점,,0
3180000,3180000-104-2023-00071,2023-03-26,1,영업/정상,1,영업,2023-12-07,253,3.3,서울특별시 영등포구 여의도동 61-4 콤비빌딩,"서울특별시 영등포구 63로 32, 콤비빌딩 1층 102호 (여의도동)",영등포구,이마트24,편의점,,0
3060000,3060000-104-2023-00043,2023-04-25,1,영업/정상,1,영업,2023-12-07,223,3.3,서울특별시 중랑구 면목동 64-1,"서울특별시 중랑구 용마산로81길 13, 1층 (면목동)",중랑구,GS25,편의점,,0
3120000,3120000-104-2022-00122,2022-07-25,3,폐업,2,폐업,2023-03-27,245,9.9,서울특별시 서대문구 남가좌동 385 DMC파크뷰자이 203동 101호,"서울특별시 서대문구 가재울미래로 2, 203동 101호 (남가좌동, DMC파크뷰자이)",서대문구,GS25,편의점,,1
3240000,3240000-104-2021-00130,2021-05-25,3,폐업,2,폐업,2023-02-07,623,3.3,서울특별시 강동구 상일동 36-3 강동리엔파크11단지,"서울특별시 강동구 고덕로98길 101, 상가동 제지103호 (상일동, 강동리엔파크11단지)",강동구,CU,편의점,,1
3020000,3020000-104-2018-00072,2018-06-26,3,폐업,2,폐업,2023-03-27,1735,3.3,서울특별시 용산구 이태원동 368-4 지상1층,"서울특별시 용산구 녹사평대로40나길 53, 지상1층 (이태원동)",용산구,CU,편의점,,1
3150000,3150000-104-2023-00163,2023-07-07,1,영업/정상,1,영업,2023-12-07,150,3.3,"서울특별시 강서구 등촌동 649-14 우림보보카운티뷰오피스텔 103-2,104-1호","서울특별시 강서구 공항대로 509, 우림보보카운티뷰오피스텔 1층 103-2,104-1호 (등촌동)",강서구,CU,편의점,,0
3220000,3220000-104-2009-00176,2009-06-25,1,영업/정상,1,영업,2023-12-07,5275,3.5,서울특별시 강남구 대치동 946-0 지상1층,"서울특별시 강남구 테헤란로 532 (대치동,지상1층)",강남구,세븐일레븐,편의점,,0
3030000,3030000-104-2023-00033,2023-03-02,1,영업/정상,1,영업,2023-12-07,277,3.2,서울특별시 성동구 성수동2가 308-4 서울숲코오롱디지털타워,"서울특별시 성동구 성수일로4길 25, 서울숲코오롱디지털타워 1층 110호 (성수동2가)",성동구,세븐일레븐,편의점,,0
3050000,3050000-104-2023-00027,2023-03-02,1,영업/정상,1,영업,2023-12-07,277,3.3,서울특별시 동대문구 용두동 105-19,"서울특별시 동대문구 천호대로17길 64, 1층 (용두동)",동대문구,세븐일레븐,편의점,,0
3100000,3100000-104-2023-00025,2023-03-02,1,영업/정상,1,영업,2023-12-07,277,3.3,서울특별시 노원구 하계동 251-9 노원 에너지제로 주택,"서울특별시 노원구 한글비석로 97, 노원 에너지제로 주택 103호 (하계동)",노원구,이마트24,편의점,,0
3060000,3060000-104-2023-00017,2023-02-16,1,영업/정상,1,영업,2023-12-07,291,3.3,서울특별시 중랑구 상봉동 300-2,"서울특별시 중랑구 상봉중앙로 62, 1층 (상봉동)",중랑구,CU,편의점,,0
3230000,3230000-104-2023-00056,2023-03-02,1,영업/정상,1,영업,2023-12-07,277,51,서울특별시 송파구 방이동 89 올림픽선수기자촌아파트,"서울특별시 송파구 양재대로 1218, 상가동 101,102호 (방이동, 올림픽선수기자촌아파트)",송파구,GS25,편의점,,0
3160000,3160000-104-2023-00077,2023-04-25,1,영업/정상,1,영업,2023-12-07,223,6,서울특별시 구로구 구로동 1265 구로두산아파트,"서울특별시 구로구 도림로 59, 상가301동 1층 103호 (구로동, 구로두산아파트)",구로구,CU,편의점,,0
3160000,3160000-104-2018-00169,2018-12-26,3,폐업,2,폐업,2023-03-02,1527,6,서울특별시 구로구 개봉동 358-15 명문아이빌,"서울특별시 구로구 개봉로5길 23 (개봉동, 명문아이빌)",구로구,이마트24,편의점,,1
3240000,3240000-104-2021-00261,2021-10-22,1,영업/정상,1,영업,2023-12-07,773,3,서울특별시 강동구 고덕동 1-7 고덕강일지구 이주자주택 ,,강동구,세븐일레븐,편의점,3,0
3070000,3070000-104-2021-00218,2021-12-29,3,폐업,2,폐업,2023-04-25,482,6,서울특별시 성북구 안암동5가 126-1 고려대병원 1층,"서울특별시 성북구 고려대로 73, 고려대병원 1층 (안암동5가)",성북구,CU,편의점,,1
3200000,3200000-104-2014-00065,2014-06-09,3,폐업,2,폐업,2023-04-25,3242,3.3,서울특별시 관악구 신림동 108-80,"서울특별시 관악구 복은4길 56, 1층 (신림동)",관악구,GS25,편의점,,1
3090000,3090000-104-2011-00106,2011-12-15,3,폐업,2,폐업,2023-09-08,4285,3.3,서울특별시 도봉구 도봉동 562 1층,"서울특별시 도봉구 도봉로 887, 1층 (도봉동)",도봉구,CU,편의점,,1
3220000,3220000-104-2023-00280,2023-05-30,1,영업/정상,1,영업,2023-12-07,188,3.3,서울특별시 강남구 청담동 76-15,"서울특별시 강남구 삼성로134길 8, 지상1층 (청담동)",강남구,CU,편의점,,0
3220000,3220000-104-2023-00281,2023-05-30,1,영업/정상,1,영업,2023-12-07,188,3.3,서울특별시 강남구 개포동 189 개포자이 프레지던스,"서울특별시 강남구 삼성로 14, 지상1층 112,113호 (개포동, 개포자이 프레지던스)",강남구,세븐일레븐,편의점,,0
3230000,3230000-104-2023-00218,2023-05-30,1,영업/정상,1,영업,2023-12-07,188,3.3,서울특별시 송파구 풍납동 123-34,"서울특별시 송파구 바람드리길 9, 1층 (풍납동)",송파구,CU,편의점,,0
3230000,3230000-104-2023-00107,2023-03-28,1,영업/정상,1,영업,2023-12-07,251,76,서울특별시 송파구 잠실동 340 미우빌딩,"서울특별시 송파구 백제고분로20길 13-11, 미우빌딩 1층 (잠실동)",송파구,GS25,편의점,,0
3210000,3210000-104-2023-00078,2023-03-28,1,영업/정상,1,영업,2023-12-07,251,6.6,서울특별시 서초구 반포동 115-1 서래나루 한강수상택시 도선장,"서울특별시 서초구 올림픽대로 2085-18, 서래나루 한강수상택시 도선장 1층 (반포동)",서초구,세븐일레븐,편의점,,0
3130000,3130000-104-2023-00032,2023-02-16,1,영업/정상,1,영업,2023-12-07,291,46.28,서울특별시 마포구 동교동 170-27,"서울특별시 마포구 양화로18안길 28, 1층 (동교동)",마포구,GS25,편의점,,0
3210000,3210000-104-2023-00001,2023-01-03,3,폐업,2,폐업,2023-03-28,84,3.3,서울특별시 서초구 반포동 115-1 서래나루 한강수상택시 도선장,"서울특별시 서초구 올림픽대로 2085-18, 서래나루 한강수상택시 도선장 1층 (반포동)",서초구,미니스톱,편의점,,1
3020000,3020000-104-2010-00053,2010-06-03,1,영업/정상,1,영업,2023-12-07,4932,49.5,서울특별시 용산구 서계동 219-1 창성빌딩 1호(지상1층),"서울특별시 용산구 청파로 395 (서계동,창성빌딩 1호(지상1층))",용산구,세븐일레븐,편의점,,0
3070000,3070000-104-2020-00147,2020-09-24,3,폐업,2,폐업,2023-05-30,978,3.3,서울특별시 성북구 장위동 68-652 1층,"서울특별시 성북구 화랑로19가길 3, 1층 (장위동)",성북구,GS25,편의점,,1
3020000,3020000-104-2023-00100,2023-06-01,1,영업/정상,1,영업,2023-12-07,186,3.3,서울특별시 용산구 한강로2가 424 아모레퍼시픽,"서울특별시 용산구 한강대로 100, 아모레퍼시픽 지하1층 B106-1호 (한강로2가)",용산구,세븐일레븐,편의점,,0
3010000,3010000-104-2013-00182,2013-12-17,3,폐업,2,폐업,2023-10-30,3604,6.6,서울특별시 중구 신당동 251-56,"서울특별시 중구 퇴계로73길 40, 1층 (신당동)",중구 ,이마트24,편의점,,1
3130000,3130000-104-2010-00158,2010-09-28,3,폐업,2,폐업,2023-10-30,4780,3.23,서울특별시 마포구 서교동 479-9 1층,"서울특별시 마포구 월드컵로10길 28 (서교동,1층)",마포구,세븐일레븐,편의점,,1
3050000,3050000-104-2023-00041,2023-03-29,1,영업/정상,1,영업,2023-12-07,250,3.3,서울특별시 동대문구 이문동 242-28 명빌딩,"서울특별시 동대문구 신이문로9길 5-2, 명빌딩 1층 (이문동)",동대문구,세븐일레븐,편의점,,0
3230000,3230000-104-2023-00113,2023-03-29,1,영업/정상,1,영업,2023-12-07,250,3.3,서울특별시 송파구 거여동 654 송파 위례 리슈빌,"서울특별시 송파구 위례송파로 124, 212동 102,103호 (거여동, 송파 위례 리슈빌)",송파구,CU,편의점,,0
3230000,3230000-104-2023-00109,2023-03-29,1,영업/정상,1,영업,2023-12-07,250,3.3,서울특별시 송파구 삼전동 176 우진빌딩,"서울특별시 송파구 백제고분로32길 17, 우진빌딩 1층 (삼전동)",송파구,이마트24,편의점,,0
3230000,3230000-104-2023-00111,2023-03-29,1,영업/정상,1,영업,2023-12-07,250,3.3,서울특별시 송파구 거여동 599 위례포레샤인 13단지,"서울특별시 송파구 위례서이로 25, 상가동 101,102호 (거여동, 위례포레샤인 13단지)",송파구,GS25,편의점,,0
3170000,3170000-104-2023-00040,2023-03-29,1,영업/정상,1,영업,2023-12-07,250,3.3,서울특별시 금천구 시흥동 936-5 효림빌딩,"서울특별시 금천구 시흥대로 152, 효림빌딩 1층 (시흥동)",금천구,CU,편의점,,0
3240000,3240000-104-2003-00046,2003-04-26,3,폐업,2,폐업,2023-02-07,7227,6.6,서울특별시 강동구 천호동 416-3 별관1층,"서울특별시 강동구 구천면로24길 25 (천호동, 별관1층)",강동구,미니스톱,편의점,,1
3180000,3180000-104-2023-00035,2023-02-16,1,영업/정상,1,영업,2023-12-07,291,3.3,서울특별시 영등포구 양평동5가 106-1 선유도 코오롱디지털타워,"서울특별시 영등포구 양평로22길 21, 선유도 코오롱디지털타워 1층 A102호, A103호 (양평동5가)",영등포구,CU,편의점,,0
3240000,3240000-104-2023-00040,2023-03-03,1,영업/정상,1,영업,2023-12-07,276,20.3,서울특별시 강동구 길동 150-1 지앤지타워,"서울특별시 강동구 천호대로 1195, 지앤지타워 B1층 B101,B102호 (길동)",강동구,이마트24,편의점,,0
3180000,3180000-104-2023-00115,2023-04-26,1,영업/정상,1,영업,2023-12-07,222,3.3,서울특별시 영등포구 신길동 457-1,"서울특별시 영등포구 여의대방로47길 17, 1층 1호 (신길동)",영등포구,CU,편의점,,0
3040000,3040000-104-2023-00066,2023-04-26,1,영업/정상,1,영업,2023-12-07,222,3.3,서울특별시 광진구 구의동 77-1 1층,"서울특별시 광진구 천호대로132길 18, 1층 (구의동)",광진구,CU,편의점,,0
3170000,3170000-104-2023-00054,2023-04-26,1,영업/정상,1,영업,2023-12-07,222,3.3,서울특별시 금천구 가산동 470-1,"서울특별시 금천구 가산디지털1로 204, 지상1층 104호 (가산동)",금천구,세븐일레븐,편의점,,0
3240000,3240000-104-2020-00023,2020-01-30,1,영업/정상,1,영업,2023-12-07,1404,3.3,서울특별시 강동구 성내동 196-8번지 코오롱아파트 ,"서울특별시 강동구 천호대로168길 35, 코오롱아파트 1층 101,102호 (성내동)",강동구,GS25,편의점,3.3,0
3080000,3080000-104-2023-00035,2023-04-26,1,영업/정상,1,영업,2023-12-07,222,3.3,서울특별시 강북구 미아동 450-64 대암빌딩 1층,"서울특별시 강북구 도봉로13길 58, 대암빌딩 1층 (미아동)",강북구,CU,편의점,,0
3200000,3200000-104-2023-00075,2023-04-26,1,영업/정상,1,영업,2023-12-07,222,3.3,서울특별시 관악구 신림동 1463-51,"서울특별시 관악구 신림동7길 42, 1층 (신림동)",관악구,CU,편의점,,0
3150000,3150000-104-2023-00089,2023-04-26,1,영업/정상,1,영업,2023-12-07,222,3.3,서울특별시 강서구 가양동 1480 영보빌딩 1층 일부호,"서울특별시 강서구 양천로57길 16, 영보빌딩 1층 일부호 (가양동)",강서구,세븐일레븐,편의점,,0
3210000,3210000-104-2022-00400,2022-12-22,3,폐업,2,폐업,2023-04-26,125,3.3,서울특별시 서초구 우면동 735 서초네이처힐7단지,"서울특별시 서초구 태봉로2길 10, 1층 103호 (우면동, 서초네이처힐7단지)",서초구,세븐일레븐,편의점,,1
3190000,3190000-104-2018-00129,2018-11-12,3,폐업,2,폐업,2023-04-26,1626,3,서울특별시 동작구 사당동 91-2 형제 팰리스,"서울특별시 동작구 동작대로31길 30, 1층 101호 (사당동, 형제 팰리스)",동작구,이마트24,편의점,,1
3080000,3080000-104-2018-00061,2018-07-09,3,폐업,2,폐업,2023-04-26,1752,5,서울특별시 강북구 미아동 450-64 대암빌딩,"서울특별시 강북구 도봉로13길 58, 대암빌딩 1층 (미아동)",강북구,CU,편의점,,1
